漢字　　		かな			英語
他の			ほかの			other
授業に			じゅぎょうに		in class; during the class
自分で			じぶんで		do something by one self
失礼します		しつれいします	excuse me; sorry to interrupt you
NONE			これから		from now on
NONE			ごめん			i’m sorry(casual)
NONE			このくらい		about this much
NONE			このあいだ		the other day
今日中に		きょうじゅうに	by the end of today
NONE			ええと			well… ; let me see
NONE			じつは			actually: In fact
~以外			~以外			other than…
迎えに来る		むかえにくる		to come to pick up
返事			へんじ			reply; answer
汚い			きたない		dirty
砂糖			さとう			sugar
研究			けんきゅう		researcher
大きさ			おおきさ		size
親戚			しんせき		relatives
奨学金			しょうがくきん	scholarship
道に迷う		みちにまよう		to become lost; to lose one’s way
困る			こまる			to have difficulty
落ち込む		落ち込む		to become depressed 
道			みち			way; road; direction
NONE			ファイル		file; portfolio 
朝寝法する		あさねほうする	to oversleep
入れる			いれる			to put something in
乗り遅れる		のりおくれる		to miss (a train, bus, etc)
集める			あつめる		to collect
アイロンを掛ける	アイロンをかける	to iron
笑う			わらう			to laugh
迎えに行く		むかえにいく		to go to pick up; to go to meet(someone)
見つかる		みつかる		to be found
直す			なおす			to fix; to correct(a mistake)
日			ひ			day
台風			たいふう		typhoon; hurricane 
文化			ぶんか			culture 
推薦状			すいせんじょう	letter of recommendation 
NONE			ごみ			trash
期末試験		きまつしけん		final exam
親			おや			parents 
大学院			だいがくいん		graduate school
出す			だす			to take (something) out; to hand in (something)
奢る			おごる			to treat (someone) to a meal
起こす			おこす			to wake (someone) up
訳す			やくす			to translate 
貸す			かす			to lend 
駅員			えきいん		station attendant 
連れて行く		つれていく		to take (someone) to (a place) (person を place に)
説明する		せつめいする		to explain
見せる			みせる			to show
