漢字		かな			英語
信じる			しんじる			to believe
経験			けいけん			experience
台風			たいふう			typhoon
二台			にだい			two vehicles/machines/etc
犬			いぬ			dog
重い			おもい			heavy;serious (illness)
初めは			はじめは			at first
初めて			はじめて			first time
若い			わかい			young
若者			わかもの			young people
送る			おくる			to send
幸せな			しあわせな			happy
時計			とけい			watch; clock
遅れる			おくれる			to be late
乗り遅れる			のりおくれる			to miss (transpotation)
遅い			おそい			late
心配ない			しんぱいな			worried about
弟			おとうと			younger brother
兄弟			きょうだい			brothers
妹			いもうと			younger sister
